location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
United Arab Emirates,ARE,2021-07-13,16042491,7516827,6557442,,73831,55929,160.57,75.24,65.63,,5598,21183,0.212
United Arab Emirates,ARE,2021-07-14,16120004,7536317,6596750,,77513,55941,161.34,75.43,66.03,,5599,19776,0.198
United Arab Emirates,ARE,2021-07-15,16194526,7645272,6705685,1843569,74522,56953,162.09,76.52,67.12,18.45,5700,32503,0.325
United Arab Emirates,ARE,2021-07-16,16263585,7664971,6725394,1873220,69059,56897,162.78,76.72,67.31,18.75,5695,32477,0.325
United Arab Emirates,ARE,2021-07-17,,,,,,56457,,,,,5651,30350,0.304
United Arab Emirates,ARE,2021-07-18,16358244,7674726,6735166,1948352,,60589,163.73,76.82,67.41,19.5,6064,28246,0.283
United Arab Emirates,ARE,2021-07-19,16375149,7674769,6735204,1965176,16905,58070,163.9,76.82,67.41,19.67,5812,26845,0.269
United Arab Emirates,ARE,2021-07-20,16444844,7684876,6765065,1994903,69695,57479,164.6,76.92,67.71,19.97,5753,24007,0.24
United Arab Emirates,ARE,2021-07-21,,,,,,47865,,,,,4791,21696,0.217
United Arab Emirates,ARE,2021-07-22,,,,,,38678,,,,,3871,6604,0.066
United Arab Emirates,ARE,2021-07-23,,,,,,30272,,,,,3030,4263,0.043
United Arab Emirates,ARE,2021-07-24,,,,,,24970,,,,,2499,4040,0.04
United Arab Emirates,ARE,2021-07-25,16495917,,,,,19668,165.11,,,,1969,3816,0.038
United Arab Emirates,ARE,2021-07-26,16524169,7704751,6814600,,28252,21289,165.39,77.12,68.21,,2131,4283,0.043
United Arab Emirates,ARE,2021-07-27,16587478,7704755,6864057,,63309,20376,166.02,77.12,68.7,,2039,2840,0.028
United Arab Emirates,ARE,2021-07-28,16645208,7734137,6893470,,57730,27164,166.6,77.41,69.0,,2719,6564,0.066
United Arab Emirates,ARE,2021-07-29,16676766,7743985,6913213,,31558,30213,166.92,77.51,69.19,,3024,7498,0.075
United Arab Emirates,ARE,2021-07-30,,,,,,37251,,,,,3728,11272,0.113
United Arab Emirates,ARE,2021-07-31,16795717,7803451,6972665,,,44288,168.11,78.1,69.79,,4433,15046,0.151
United Arab Emirates,ARE,2021-08-01,16810996,,,,15279,45011,168.26,,,,4505,15270,0.153
United Arab Emirates,ARE,2021-08-02,16832021,7813207,6992326,,21025,43979,168.47,78.2,69.99,,4402,15494,0.155
United Arab Emirates,ARE,2021-08-03,16884412,7842865,7021985,,52391,42419,168.99,78.5,70.28,,4246,19730,0.197
United Arab Emirates,ARE,2021-08-04,16935702,7872930,7042119,,51290,41499,169.51,78.8,70.48,,4154,19828,0.198
United Arab Emirates,ARE,2021-08-05,16988539,7892446,7071552,,52837,44539,170.04,78.99,70.78,,4458,21209,0.212
United Arab Emirates,ARE,2021-08-06,17037618,7922403,7091590,,49079,43054,170.53,79.29,70.98,,4309,21241,0.213
United Arab Emirates,ARE,2021-08-07,17097354,7951798,7121013,,59736,43091,171.13,79.59,71.27,,4313,21192,0.212
United Arab Emirates,ARE,2021-08-08,17113003,7961606,7130830,,15649,43144,171.28,79.69,71.37,,4318,21897,0.219
United Arab Emirates,ARE,2021-08-09,17137750,7981397,7140729,,24747,43676,171.53,79.89,71.47,,4371,24027,0.24
United Arab Emirates,ARE,2021-08-10,17197497,8011256,7170569,,59747,44726,172.13,80.18,71.77,,4477,24056,0.241
United Arab Emirates,ARE,2021-08-11,17245815,8040860,7180399,,48318,44302,172.61,80.48,71.87,,4434,23990,0.24
United Arab Emirates,ARE,2021-08-12,17288318,8080410,7190279,,42503,42826,173.04,80.88,71.97,,4286,26852,0.269
United Arab Emirates,ARE,2021-08-13,17313163,8090356,7200219,,24845,39364,173.29,80.98,72.07,,3940,23993,0.24
United Arab Emirates,ARE,2021-08-14,,,,,,35327,,,,,3536,23315,0.233
United Arab Emirates,ARE,2021-08-15,17376128,8139651,7209971,,,37589,173.92,81.47,72.16,,3762,25435,0.255
United Arab Emirates,ARE,2021-08-16,17398458,8159700,7220098,,22330,37244,174.14,81.67,72.27,,3728,25472,0.255
United Arab Emirates,ARE,2021-08-17,17454250,8189097,7239637,,55792,36679,174.7,81.96,72.46,,3671,25406,0.254
United Arab Emirates,ARE,2021-08-18,17506683,8218775,7259423,,52433,37267,175.22,82.26,72.66,,3730,25416,0.254
United Arab Emirates,ARE,2021-08-19,17566410,8258517,7279364,,59727,39727,175.82,82.66,72.86,,3976,25444,0.255
United Arab Emirates,ARE,2021-08-20,17622541,8297964,7308934,,56131,44197,176.38,83.05,73.15,,4424,29658,0.297
United Arab Emirates,ARE,2021-08-21,17683483,8327923,7328967,,60942,48405,176.99,83.35,73.36,,4845,30417,0.304
United Arab Emirates,ARE,2021-08-22,,,,,,48354,,,,,4840,28296,0.283
United Arab Emirates,ARE,2021-08-23,,,,,,49610,,,,,4965,26831,0.269
United Arab Emirates,ARE,2021-08-24,17776853,8357317,7348504,,,46086,177.93,83.65,73.55,,4613,24031,0.241
United Arab Emirates,ARE,2021-08-25,17843063,8436413,7397933,,66210,48054,178.59,84.44,74.05,,4810,31091,0.311
United Arab Emirates,ARE,2021-08-26,17909062,8485738,7417604,,65999,48950,179.25,84.93,74.24,,4899,32460,0.325
United Arab Emirates,ARE,2021-08-27,,,,,,45584,,,,,4562,31774,0.318
United Arab Emirates,ARE,2021-08-28,17974190,,,,,41530,179.9,,,,4157,32443,0.325
United Arab Emirates,ARE,2021-08-29,18060832,,,,86642,49461,180.77,,,,4951,35992,0.36
United Arab Emirates,ARE,2021-08-30,18095160,,,,34328,49919,181.11,,,,4996,39541,0.396
United Arab Emirates,ARE,2021-08-31,18158991,,,,63831,54591,181.75,,,,5464,43090,0.431
United Arab Emirates,ARE,2021-09-01,18289168,8693586,7595761,1999821,130177,63729,183.05,87.01,76.03,20.02,6379,36739,0.368
United Arab Emirates,ARE,2021-09-02,,,,,,57876,,,,,5793,31126,0.312
United Arab Emirates,ARE,2021-09-03,18339225,8713654,7625684,1999887,,56800,183.56,87.21,76.32,20.02,5685,27611,0.276
United Arab Emirates,ARE,2021-09-04,18389144,8743077,7645247,2000820,49919,59279,184.06,87.51,76.52,20.03,5933,26865,0.269
United Arab Emirates,ARE,2021-09-05,,,,,,50488,,,,,5053,24028,0.24
United Arab Emirates,ARE,2021-09-06,18439345,8772634,7664928,2001783,,49169,184.56,87.8,76.72,20.04,4921,21190,0.212
United Arab Emirates,ARE,2021-09-07,18542213,8812200,7704493,2025520,102868,54746,185.59,88.2,77.11,20.27,5479,21894,0.219
United Arab Emirates,ARE,2021-09-08,,,,,,48172,,,,,4821,20484,0.205
United Arab Emirates,ARE,2021-09-09,18710538,8861741,7754024,2094773,,56620,187.27,88.7,77.61,20.97,5667,22589,0.226
United Arab Emirates,ARE,2021-09-10,18801148,8891700,7783946,2125502,90610,65989,188.18,89.0,77.91,21.27,6605,25435,0.255
United Arab Emirates,ARE,2021-09-11,18860966,8921128,7813405,2126433,59818,67403,188.78,89.29,78.2,21.28,6746,25436,0.255
United Arab Emirates,ARE,2021-09-12,18942543,8931243,7823492,2187808,81577,75471,189.59,89.39,78.3,21.9,7554,24770,0.248
United Arab Emirates,ARE,2021-09-13,18997951,8951034,7843282,2203635,55408,79801,190.15,89.59,78.5,22.06,7987,25486,0.255
United Arab Emirates,ARE,2021-09-14,19073549,8980442,7872722,2220385,75598,75905,190.91,89.88,78.8,22.22,7597,24035,0.241
